task_id,task_family,literature_anchor,agent,agent_short,task_complexity,tool_need,ambiguity,context_length_k,success_prob_true,success,pass_at_1,confidence,invalid_tool_call,hallucination,timeout,latency_sec,input_tokens,output_tokens,total_tokens,cost_units,failure_mode,stress_type,stressed_success
T0001,QA_retrieval,ReAct / HotpotQA-style retrieval reasoning,Direct_LLM,Direct,0.4926603911656204,0.4252019072511406,0.48302978878244784,6.244291292507133,0.25288152241691264,1,1,0.27829555857378535,0,1,0,20.084978679140246,2702,1264,3966,0.047592,success,tool_delay,0
T0001,QA_retrieval,ReAct / HotpotQA-style retrieval reasoning,CoT_prompted,CoT,0.4926603911656204,0.4252019072511406,0.48302978878244784,6.244291292507133,0.2321970044334676,1,1,0.20389552479441353,1,1,0,35.552702380972505,2701,1766,4467,0.0643248,success,tool_delay,1
T0001,QA_retrieval,ReAct / HotpotQA-style retrieval reasoning,ReAct_agent,ReAct,0.4926603911656204,0.4252019072511406,0.48302978878244784,6.244291292507133,0.28467342246780614,0,0,0.3738639230122192,0,0,0,35.31726686610663,2487,2218,4705,0.093159,wrong_final_answer,schema_shift,0
T0001,QA_retrieval,ReAct / HotpotQA-style retrieval reasoning,Tool_router_agent,Tool-router,0.4926603911656204,0.4252019072511406,0.48302978878244784,6.244291292507133,0.34028759940000286,1,1,0.42839708773866986,0,0,0,58.821439315576306,2675,2344,5019,0.105399,success,schema_shift,0
T0001,QA_retrieval,ReAct / HotpotQA-style retrieval reasoning,Memory_agent,Memory,0.4926603911656204,0.4252019072511406,0.48302978878244784,6.244291292507133,0.28351941757916593,1,1,0.16157504498526937,0,0,0,75.97983639840724,2479,2568,5047,0.11809979999999999,success,tool_delay,0
T0001,QA_retrieval,ReAct / HotpotQA-style retrieval reasoning,Self_reflecting_agent,Reflect,0.4926603911656204,0.4252019072511406,0.48302978878244784,6.244291292507133,0.3789249234924978,0,0,0.32293045781208013,0,0,0,75.59403038232246,2601,2354,4955,0.139731,wrong_final_answer,none,0
T0002,QA_retrieval,ReAct / HotpotQA-style retrieval reasoning,Direct_LLM,Direct,0.46993960304987914,0.6328582424881323,0.2730096561055924,8.165687451569678,0.2383835211691973,0,0,0.31822973424593165,1,0,0,28.19602173334304,3317,1560,4877,0.058524,invalid_tool_call,none,0
T0002,QA_retrieval,ReAct / HotpotQA-style retrieval reasoning,CoT_prompted,CoT,0.46993960304987914,0.6328582424881323,0.2730096561055924,8.165687451569678,0.27469830457111427,0,0,0.4306057003054421,0,0,1,38.82811016178354,3068,1578,4646,0.0669024,timeout,schema_shift,0
T0002,QA_retrieval,ReAct / HotpotQA-style retrieval reasoning,ReAct_agent,ReAct,0.46993960304987914,0.6328582424881323,0.2730096561055924,8.165687451569678,0.3105218535870347,0,0,0.1592238589034194,0,1,0,31.93948590987913,3309,2114,5423,0.10737539999999998,hallucination,schema_shift,0
T0002,QA_retrieval,ReAct / HotpotQA-style retrieval reasoning,Tool_router_agent,Tool-router,0.46993960304987914,0.6328582424881323,0.2730096561055924,8.165687451569678,0.3493869780750826,0,0,0.5924894871039349,0,0,0,41.348530305367,3263,2230,5493,0.11535300000000001,wrong_final_answer,none,0
